Epoch   1/200: loss=0.311340, full=0.304325, mcep_l1=0.3271, in_range=100.0%, lr=5.00e-04
Epoch   2/200: loss=0.299069, full=0.293746, mcep_l1=0.3158, in_range=100.0%, lr=5.00e-04
Epoch   3/200: loss=0.290226, full=0.286697, mcep_l1=0.3082, in_range=100.0%, lr=5.00e-04
Epoch   4/200: loss=0.284470, full=0.281933, mcep_l1=0.3031, in_range=100.0%, lr=5.00e-04
Epoch   5/200: loss=0.280187, full=0.278472, mcep_l1=0.2994, in_range=100.0%, lr=5.00e-04
Epoch   6/200: loss=0.276702, full=0.275168, mcep_l1=0.2958, in_range=100.0%, lr=5.00e-04
Epoch   7/200: loss=0.274007, full=0.272491, mcep_l1=0.2929, in_range=100.0%, lr=5.00e-04
Epoch   8/200: loss=0.271430, full=0.270094, mcep_l1=0.2904, in_range=100.0%, lr=5.00e-04
Epoch   9/200: loss=0.269020, full=0.267751, mcep_l1=0.2878, in_range=100.0%, lr=5.00e-04
Epoch  10/200: loss=0.267067, full=0.265936, mcep_l1=0.2859, in_range=100.0%, lr=5.00e-04
Epoch  11/200: loss=0.265080, full=0.263881, mcep_l1=0.2837, in_range=100.0%, lr=5.00e-04
Epoch  12/200: loss=0.263287, full=0.262202, mcep_l1=0.2819, in_range=100.0%, lr=5.00e-04
Epoch  13/200: loss=0.261636, full=0.260730, mcep_l1=0.2803, in_range=100.0%, lr=5.00e-04
Epoch  14/200: loss=0.260021, full=0.259207, mcep_l1=0.2786, in_range=100.0%, lr=5.00e-04
Epoch  15/200: loss=0.258667, full=0.257702, mcep_l1=0.2770, in_range=100.0%, lr=5.00e-04
Epoch  16/200: loss=0.257318, full=0.256474, mcep_l1=0.2757, in_range=100.0%, lr=5.00e-04
Epoch  17/200: loss=0.256167, full=0.255190, mcep_l1=0.2743, in_range=100.0%, lr=5.00e-04
Epoch  18/200: loss=0.254850, full=0.254093, mcep_l1=0.2731, in_range=100.0%, lr=5.00e-04
Epoch  19/200: loss=0.253732, full=0.253251, mcep_l1=0.2722, in_range=100.0%, lr=5.00e-04
Epoch  20/200: loss=0.252745, full=0.252011, mcep_l1=0.2709, in_range=100.0%, lr=5.00e-04
Epoch  21/200: loss=0.251711, full=0.251364, mcep_l1=0.2702, in_range=100.0%, lr=5.00e-04
Epoch  22/200: loss=0.250866, full=0.250062, mcep_l1=0.2688, in_range=100.0%, lr=5.00e-04
Epoch  23/200: loss=0.250115, full=0.249542, mcep_l1=0.2683, in_range=100.0%, lr=5.00e-04
Epoch  24/200: loss=0.249120, full=0.248577, mcep_l1=0.2672, in_range=100.0%, lr=5.00e-04
