Epoch   1/100: loss=0.309718, full=0.308468, mcep_l1=0.3316, in_range=100.0%, lr=1.00e-03
Epoch   2/100: loss=0.307656, full=0.307346, mcep_l1=0.3304, in_range=100.0%, lr=1.00e-03
Epoch   3/100: loss=0.306996, full=0.306820, mcep_l1=0.3298, in_range=100.0%, lr=1.00e-03
Epoch   4/100: loss=0.306763, full=0.306648, mcep_l1=0.3296, in_range=100.0%, lr=1.00e-03
Epoch   5/100: loss=0.306589, full=0.306507, mcep_l1=0.3295, in_range=100.0%, lr=1.00e-03
Epoch   6/100: loss=0.306512, full=0.306436, mcep_l1=0.3294, in_range=100.0%, lr=1.00e-03
Epoch   7/100: loss=0.306449, full=0.306395, mcep_l1=0.3294, in_range=100.0%, lr=1.00e-03
Epoch   8/100: loss=0.306386, full=0.306330, mcep_l1=0.3293, in_range=100.0%, lr=1.00e-03
Epoch   9/100: loss=0.306317, full=0.306275, mcep_l1=0.3292, in_range=100.0%, lr=1.00e-03
Epoch  10/100: loss=0.306300, full=0.306232, mcep_l1=0.3292, in_range=100.0%, lr=1.00e-03
Epoch  11/100: loss=0.306265, full=0.306229, mcep_l1=0.3292, in_range=100.0%, lr=1.00e-03
Epoch  12/100: loss=0.306242, full=0.306201, mcep_l1=0.3292, in_range=100.0%, lr=1.00e-03
Epoch  13/100: loss=0.306189, full=0.306134, mcep_l1=0.3291, in_range=100.0%, lr=1.00e-03
Epoch  14/100: loss=0.306162, full=0.306122, mcep_l1=0.3291, in_range=100.0%, lr=1.00e-03
Epoch  15/100: loss=0.306163, full=0.306116, mcep_l1=0.3291, in_range=100.0%, lr=1.00e-03
Epoch  16/100: loss=0.306143, full=0.306087, mcep_l1=0.3290, in_range=100.0%, lr=1.00e-03
Epoch  17/100: loss=0.306108, full=0.306067, mcep_l1=0.3290, in_range=100.0%, lr=1.00e-03
Epoch  18/100: loss=0.306043, full=0.306019, mcep_l1=0.3290, in_range=100.0%, lr=1.00e-03
Epoch  19/100: loss=0.306063, full=0.306013, mcep_l1=0.3290, in_range=100.0%, lr=1.00e-03
Epoch  20/100: loss=0.306005, full=0.305979, mcep_l1=0.3289, in_range=100.0%, lr=1.00e-03
Epoch  21/100: loss=0.305969, full=0.305963, mcep_l1=0.3289, in_range=100.0%, lr=1.00e-03
Epoch  22/100: loss=0.305989, full=0.305982, mcep_l1=0.3289, in_range=100.0%, lr=1.00e-03
Epoch  23/100: loss=0.306020, full=0.306006, mcep_l1=0.3290, in_range=100.0%, lr=1.00e-03
Epoch  24/100: loss=0.305969, full=0.305921, mcep_l1=0.3289, in_range=100.0%, lr=1.00e-03
Epoch  25/100: loss=0.305971, full=0.305984, mcep_l1=0.3289, in_range=100.0%, lr=1.00e-03
Epoch  26/100: loss=0.305931, full=0.305879, mcep_l1=0.3288, in_range=100.0%, lr=1.00e-03
Epoch  27/100: loss=0.305941, full=0.305859, mcep_l1=0.3288, in_range=100.0%, lr=1.00e-03
Epoch  28/100: loss=0.305893, full=0.305872, mcep_l1=0.3288, in_range=100.0%, lr=1.00e-03
Epoch  29/100: loss=0.305904, full=0.305888, mcep_l1=0.3288, in_range=100.0%, lr=1.00e-03
Epoch  30/100: loss=0.305894, full=0.305876, mcep_l1=0.3288, in_range=100.0%, lr=1.00e-03
Epoch  31/100: loss=0.305918, full=0.305884, mcep_l1=0.3288, in_range=100.0%, lr=1.00e-03
Epoch  32/100: loss=0.305886, full=0.305864, mcep_l1=0.3288, in_range=100.0%, lr=1.00e-03
Epoch  33/100: loss=0.305892, full=0.305885, mcep_l1=0.3288, in_range=100.0%, lr=1.00e-03
Epoch  34/100: loss=0.305870, full=0.305798, mcep_l1=0.3287, in_range=100.0%, lr=1.00e-03
Epoch  35/100: loss=0.305825, full=0.305880, mcep_l1=0.3288, in_range=100.0%, lr=1.00e-03
Epoch  36/100: loss=0.305928, full=0.305818, mcep_l1=0.3288, in_range=100.0%, lr=1.00e-03
